"Year","RK","DRIVER","POINTS","WINS","POLES","TOP_5","TOP_10","MAKE","TEAM","STAGE_POINTS","STAGE_WINS"
2017,1,"Martin Truex Jr.",5040,8,3,19,26,"Toyota","Joe Gibbs Racing",440,19
2017,2,"Kyle Busch",5035,5,8,14,22,"Toyota","Joe Gibbs Racing",354,14
2017,3,"Kevin Harvick",5033,2,4,14,23,"Ford","Stewart-Haas Racing",320,6
2017,4,"Brad Keselowski",5030,3,2,15,21,"Ford","Penske Racing",292,8
2017,5,"Chase Elliott",2377,0,1,12,21,"Chevrolet","Hendrick Motorsports",236,3
2017,6,"Denny Hamlin",2353,2,2,15,22,"Toyota","Joe Gibbs Racing",248,4
2017,7,"Matt Kenseth",2344,1,2,10,18,,,254,3
2017,8,"Kyle Larson",2320,4,4,15,20,"Chevrolet","Chip Ganassi Racing with Felix Sabates",377,8
2017,9,"Ryan Blaney",2305,1,2,4,14,"Ford","Penske Championship Racing",226,4
2017,10,"Jimmie Johnson",2260,3,0,4,11,"Chevrolet","Hendrick Motorsports",180,1
2017,11,"Austin Dillon",2224,1,0,3,4,"Chevrolet","Richard Childress Racing",32,0
2017,12,"Jamie McMurray",2224,0,0,3,17,,,159,0
2017,13,"Ricky Stenhouse Jr.",2222,2,1,4,9,"Ford","Roush Fenway Racing",36,0
2017,14,"Kurt Busch",2217,1,1,6,15,"Chevrolet","Chip Ganassi Racing with Felix Sabates",120,0
2017,15,"Kasey Kahne",2198,1,0,3,6,,,40,0
2017,16,"Ryan Newman",2196,1,0,7,13,"Ford","Roush Fenway Racing",53,0
2017,17,"Joey Logano",930,1,2,10,17,"Ford","Penske Racing",160,1
2017,18,"Clint Bowyer",871,0,0,6,13,"Ford","Stewart-Haas Racing",93,1
2017,19,"Erik Jones",863,0,1,5,14,"Toyota","Joe Gibbs Racing",162,0
2017,20,"Daniel Suarez",777,0,0,1,12,"Ford","Stewart-Haas Racing",25,1
2017,21,"Dale Earnhardt Jr.",668,0,2,1,8,,,44,0
2017,22,"Trevor Bayne",660,0,0,2,6,,,20,0
2017,23,"Paul Menard",631,0,0,2,3,"Ford","Wood Brothers",6,0
2017,24,"Ty Dillon",593,0,0,0,0,"Chevrolet","Germain Racing",5,0
2017,25,"Chris Buescher",564,0,0,0,4,"Chevrolet","JTG Daugherty Racing",".","."
2017,26,"Michael McDowell",542,0,0,1,1,"Ford","Front Row Motorsports",11,0
2017,27,"AJ Allmendinger",531,0,0,1,5,,,21,0
2017,28,"Danica Patrick",511,0,0,0,1,,,24,0
2017,29,"Aric Almirola",502,0,0,3,6,"Ford","Stewart-Haas Racing",".","."
2017,30,"David Ragan",447,0,0,0,3,"Ford","Front Row Motorsports",9,0
2017,31,"Landon Cassill",382,0,0,0,0,"Chevrolet",,".","."
2017,32,"Matt DiBenedetto",363,0,0,0,2,"Toyota","BK Racing",".","."
2017,33,"Cole Whitt",322,0,0,0,0,"Chevrolet","Premium Motorsports",".","."
2017,34,"Gray Gaulding",164,0,0,0,1,"Toyota","BK Racing",".","."
2017,35,"Reed Sorenson",150,0,0,0,0,"Chevrolet","Hillman Racing",".","."
2017,36,"Jeffrey Earnhardt",145,0,0,0,0,,,".","."
2017,37,"Derrike Cope",42,0,0,0,0,,,".","."
2017,38,"Michael Waltrip",29,0,0,0,1,,,".","."
2017,39,"D.J. Kennington",17,0,0,0,0,"Toyota",,".","."
2017,40,"Billy Johnson",15,0,0,0,0,,,".","."
2017,41,"Boris Said",15,0,0,0,0,,,".","."
2017,42,"Gary Klutt",6,0,0,0,0,,,".","."
2017,43,"Cody Ware",6,0,0,0,0,"Chevrolet",,".","."
2017,44,"Alon Day",5,0,0,0,0,,,".","."
2017,45,"Kyle Weatherman",5,0,0,0,0,"Chevrolet",,".","."
2017,46,"Kevin O'Connell",4,0,0,0,0,,,".","."
2017,47,"Hermie Sadler",3,0,0,0,0,,,".","."
2017,48,"Tommy Regan",3,0,0,0,0,,,".","."

