Driver,Races,Win,T5,T10,Pole,Laps,Led,Earnings,AvSt,AvFn,RAF,Miles,LLF
Aric Almirola,16,1,2,3,0,2663,22,"2,414,627",21.9,20.6,11,6657.5,9
Ryan Blaney,9,0,1,2,0,1458,143,"281,003",12.8,23.8,4,3645,4
Alex Bowman,7,0,0,1,1,1177,14,"572,932",17.6,17,7,2942.5,4
Clint Bowyer,28,0,4,12,0,4796,162,"5,338,316",16.9,16.8,21,11990,18
Chris Buescher,8,0,2,3,0,1162,1,0,23.9,23.5,4,2905,4
Jeb Burton,1,0,0,0,0,121,0,"94,885",40,36,1,302.5,0
Kurt Busch,37,1,13,18,0,6065,315,"8,860,022",19.2,17.7,33,15162.5,21
Kyle Busch,29,1,8,9,1,4709,423,"5,497,012",14.7,18.4,22,11772.5,19
William Byron,4,0,1,1,1,592,56,0,16,19.5,2,1480,1
Landon Cassill,15,0,0,0,0,2325,5,"1,415,193",27.3,23.4,12,5812.5,7
Ross Chastain,3,0,0,1,0,491,0,0,35.7,20.3,2,1227.5,1
Matt Crafton,1,0,0,0,0,203,0,"382,849",4,18,1,507.5,1
Matt DiBenedetto,9,0,0,3,0,1406,50,"102,085",27.9,21.2,6,3515,5
Austin Dillon,13,1,2,7,1,2179,64,"1,455,253",14.2,15.1,11,5447.5,8
Ty Dillon,8,0,1,3,0,1267,10,"317,190",22.8,19.2,6,3167.5,6
Jeffrey Earnhardt,4,0,0,0,0,574,0,0,33,23.8,2,1435,1
Chase Elliott,8,0,0,0,3,1108,64,0,7.2,28,4,2770,1
Joey Gase,3,0,0,0,0,482,0,0,35,25,2,1205,0
Brendan Gaughan,9,0,0,1,0,1548,0,"397,547",28.1,20.3,7,3870,4
Gray Gaulding,1,0,0,0,0,204,0,0,34,20,1,510,0
Justin Haley,1,1,1,1,0,127,1,0,34,1,1,317.5,1
Denny Hamlin,28,2,8,9,0,4772,442,"5,995,512",16.4,17.4,25,11930,18
Kevin Harvick,37,2,9,14,1,5762,256,"10,258,974",14.8,17.8,29,14405,23
Daniel Hemric,2,0,0,0,0,317,1,0,26.5,26,1,792.5,1
Quin Houff,1,0,0,0,0,108,0,0,32,37,1,270,0
Jimmie Johnson,36,3,12,16,2,5615,299,"10,401,867",11.7,17.9,26,14037.5,24
Erik Jones,6,1,2,3,0,825,21,0,22.2,18.5,4,2062.5,3
D.J. Kennington,4,0,0,0,0,510,0,0,33.2,27.8,2,1275,1
Brad Keselowski,21,1,3,4,0,3219,199,"3,696,988",20.7,23.2,12,8047.5,9
Parker Kligerman,3,0,0,0,0,519,0,"318,338",34,25,1,1297.5,0
Corey LaJoie,6,0,0,1,0,756,0,0,33.2,21.7,4,1890,2
Kyle Larson,12,0,0,3,0,1908,16,"886,899",21.2,23,7,4770,4
Joey Logano,22,1,6,9,0,3538,114,"4,571,853",16.7,17.4,18,8845,15
Michael McDowell,17,0,2,6,0,2519,20,"1,704,737",26.3,21.1,12,6297.5,11
B.J. McLeod,2,0,0,0,0,324,0,0,36.5,23.5,2,810,0
Jamie McMurray,33,2,3,5,0,5263,58,"6,748,653",19.9,23.3,21,13157.5,16
Casey Mears,26,0,2,6,0,4234,21,"5,530,349",23.8,20.8,23,10585,15
Paul Menard,25,0,2,6,1,4144,69,"3,872,649",20.8,19.2,21,10360,18
Joe Nemechek,38,0,0,3,1,5161,13,"4,888,372",26.7,28.3,24,12902.5,16
Ryan Newman,36,1,6,11,0,6116,104,"7,854,889",19.9,18.4,31,15290,23
Ryan Preece,2,0,0,1,0,326,1,0,23.5,20,1,815,1
David Ragan,26,1,3,5,0,4069,39,"4,338,826",24.2,21.2,17,10172.5,14
Tyler Reddick,1,0,0,0,0,191,0,0,39,27,0,477.5,0
Ryan Sieg,1,0,0,0,0,7,0,0,38,40,0,17.5,0
Reed Sorenson,14,0,1,3,0,2302,10,"2,793,558",27.1,23.4,13,5755,10
"Ricky Stenhouse, Jr.",15,1,2,3,0,2517,97,"1,876,619",17.4,18.7,13,6292.5,10
Daniel Suarez,6,0,0,0,0,690,11,0,21,31.8,1,1725,1
Matt Tifft,2,0,0,1,0,317,0,0,32,22.5,1,792.5,1
"Martin Truex, Jr.",29,0,2,4,1,4693,92,"4,950,071",18,22.1,22,11732.5,17
Ryan Truex,1,0,0,0,0,97,0,"95,735",42,32,0,242.5,0
Bubba Wallace,5,0,1,1,0,833,0,0,20.4,16.8,4,2082.5,3
Cody Ware,1,0,0,0,0,155,0,0,37,39,0,387.5,0
J.J. Yeley,14,0,0,1,0,2021,5,"2,371,520",31.7,25.9,12,5052.5,6
